Time,q1,q2,q3,q4,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z
1733193775906.933,-0.3106689453125,0.253662109375,-0.5989990234375,0.69305419921875,-0.19,-9.83,1.58,-45.875,15.1875,5.0625,0.017453292519943295,0.00545415391248228,0.01090830782496456
1733193776027.363,-0.31072998046875,0.25360107421875,-0.59893798828125,0.69305419921875,0.14,-9.78,1.59,-46.25,14.75,7.375,-0.001090830782496456,0.0,-0.022907446432425576
1733193776156.117,-0.31085205078125,0.2535400390625,-0.598876953125,0.693115234375,0.0,-9.93,1.8,-45.5,15.1875,6.5625,0.004363323129985824,-0.002181661564992912,0.006544984694978736
1733193776280.3809,-0.31085205078125,0.25347900390625,-0.59893798828125,0.69305419921875,-0.09,-9.790000000000001,1.62,-46.25,15.5625,5.375,0.015271630954950384,0.002181661564992912,0.00545415391248228
1733193777024.611,-0.3116455078125,0.25286865234375,-0.59893798828125,0.69293212890625
1733193781187.4849,-0.31201171875,0.252197265625,-0.59844970703125,0.6934814453125,-0.37,-9.700000000000001,1.77,-45.875,14.75,6.1875,-0.003272492347489368,0.001090830782496456,0.008726646259971648
1733193781311.471,-0.31231689453125,0.25115966796875,-0.59820556640625,0.69390869140625,-0.44,-9.93,1.96,-45.5,15.5625,6.1875,-0.002181661564992912,-0.002181661564992912,0.02181661564992912
1733193781438.1968,-0.31195068359375,0.25067138671875,-0.59808349609375,0.69439697265625,0.09,-9.66,1.8,-45.875,15.5625,6.5625,0.0916297857297023,0.04363323129985824,0.017453292519943295
1733193781564.6592,-0.3126220703125,0.25018310546875,-0.5986328125,0.69378662109375,-0.39,-9.94,1.83,-45.0625,15.5625,5.75,0.05890486225480862,-0.002181661564992912,0.061086523819801536
1733193781695.141,-0.31353759765625,0.24993896484375,-0.59844970703125,0.693603515625,-0.44,-9.98,1.8900000000000001,-45.0625,14.75,6.1875,-0.05126904677733343,0.002181661564992912,0.11453723216212788
1733193781825.233,-0.31292724609375,0.25067138671875,-0.5968017578125,0.695068359375,0.4,-9.23,2.56,-44.75,16.0,7.0,0.04145156973486533,-0.018544123302439753,-0.06326818538479445
1733193781955.222,-0.313232421875,0.25018310546875,-0.59649658203125,0.6953125,-0.3,-9.98,2.92,-45.5,15.5625,6.1875,0.039269908169872414,0.08617563181722002,-0.26070855701665296
1733193782082.962,-0.3155517578125,0.24639892578125,-0.5982666015625,0.694091796875,0.44,-10.34,2.21,-44.75,16.0,6.875,0.11344640137963143,0.04363323129985824,0.10144726277217041
1733193782212.576,-0.31817626953125,0.2451171875,-0.59918212890625,0.69256591796875,-0.97,-9.83,1.04,-44.375,15.5625,5.0625,-0.014180800172453928,-0.02945243112740431,0.022907446432425576
1733193782342.574,-0.31719970703125,0.24566650390625,-0.59832763671875,0.69354248046875,0.8200000000000001,-9.64,1.04,-46.25,15.5625,5.375,-0.09817477042468103,-0.02181661564992912,-0.06544984694978735
1733193782468.979,-0.31866455078125,0.2445068359375,-0.59832763671875,0.69329833984375,-1.67,-10.14,1.19,-44.0,16.0,6.5625,-0.08726646259971647,-0.0272707695624114,0.12435470920459599
1733193782597.372,-0.3194580078125,0.2423095703125,-0.59814453125,0.69390869140625,0.51,-9.41,2.17,-44.375,16.0,5.0625,0.001090830782496456,0.03381575425739013,0.014180800172453928
