Time,Longitude,Latitude,Altitude
1733362864852.917,-117.234448,32.880880,66.4
1733362864973.847,-117.234448,32.880880,66.4
1733362865132.6611,-117.234453,32.880903,67.6
1733362865261.45,-117.234453,32.880903,67.6
1733362865380.044,-117.234453,32.880903,67.6
1733362865501.413,-117.234453,32.880903,67.6
1733362865620.841,-117.234453,32.880903,67.6
1733362865741.487,-117.234453,32.880903,67.6
1733362865862.477,-117.234453,32.880903,67.6
1733362865983.281,-117.234453,32.880903,67.6
1733362866132.603,-117.234458,32.880930,68.8
1733362866260.907,-117.234458,32.880930,68.8
1733362866380.582,-117.234458,32.880930,68.8
1733362866501.6511,-117.234458,32.880930,68.8
1733362866621.403,-117.234458,32.880930,68.8
1733362866736.4832,-117.234458,32.880930,68.8
1733362866857.6018,-117.234458,32.880930,68.8
1733362866975.603,-117.234458,32.880930,68.8
1733362867715.063,-117.234463,32.880945,69.7
1733362872031.985,-117.234463,32.880945,69.7
1733362872160.1108,-117.234468,32.880961,70.5
1733362872287.698,-117.234468,32.880961,70.5
1733362872416.3052,-117.234470,32.880996,71.4
1733362872540.424,-117.234470,32.880996,71.4
1733362872668.407,-117.234468,32.881006,71.0
1733362872794.7659,-117.234468,32.881006,71.0
1733362872920.0598,-117.234466,32.881018,70.7
1733362873047.655,-117.234466,32.881018,70.7
1733362873167.808,-117.234461,32.881033,70.2
1733362873295.668,-117.234461,32.881033,70.2
1733362873423.439,-117.234460,32.881035,70.3
1733362873553.714,-117.234460,32.881035,70.3
1733362873674.298,-117.234460,32.881035,70.3
1733362873795.393,-117.234460,32.881035,70.3
1733362873916.771,-117.234460,32.881035,70.3
1733362874036.151,-117.234460,32.881035,70.3
1733362874167.414,-117.234456,32.881036,70.3
1733362874293.6511,-117.234456,32.881036,70.3
1733362874413.2869,-117.234456,32.881036,70.3
1733362874534.014,-117.234456,32.881036,70.3
1733362874653.784,-117.234456,32.881036,70.3
1733362874776.297,-117.234456,32.881036,70.3
1733362874895.363,-117.234456,32.881036,70.3
1733362875017.441,-117.234456,32.881036,70.3
1733362875144.388,-117.234453,32.881068,70.3
1733362875273.029,-117.234453,32.881068,70.3
1733362875392.841,-117.234453,32.881068,70.3
1733362875514.494,-117.234453,32.881068,70.3
1733362875628.947,-117.234453,32.881068,70.3
1733362875741.672,-117.234453,32.881068,70.3
1733362875862.207,-117.234453,32.881068,70.3
1733362875982.665,-117.234453,32.881068,70.3
1733362876123.575,-117.234460,32.881091,70.4
1733362876255.296,-117.234460,32.881091,70.4
1733362876375.69,-117.234460,32.881091,70.4
1733362876497.092,-117.234460,32.881091,70.4
1733362876619.127,-117.234460,32.881091,70.4
1733362876736.386,-117.234460,32.881091,70.4
1733362876851.503,-117.234460,32.881091,70.4
1733362877603.054,-117.234468,32.881115,70.8
1733362883180.482,-117.234468,32.881115,70.8
1733362883306.9949,-117.234475,32.881131,70.9
1733362883434.664,-117.234475,32.881131,70.9
1733362883565.361,-117.234485,32.881150,71.3
1733362883694.425,-117.234485,32.881150,71.3
1733362883818.6619,-117.234493,32.881168,71.5
1733362883948.0432,-117.234493,32.881168,71.5
1733362884071.085,-117.234501,32.881186,71.9
1733362884199.382,-117.234501,32.881186,71.9
1733362884323.731,-117.234511,32.881198,72.2
1733362884453.233,-117.234511,32.881198,72.2
1733362884577.689,-117.234520,32.881213,72.3
1733362884706.294,-117.234520,32.881213,72.3
1733362884831.5461,-117.234531,32.881226,72.5
1733362884959.688,-117.234531,32.881226,72.5
1733362885122.518,-117.234541,32.881238,72.6
1733362885247.05,-117.234541,32.881238,72.6
1733362885366.791,-117.234541,32.881238,72.6
1733362885482.5151,-117.234541,32.881238,72.6
